Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Captains Courageous	"Action & Adventure, Classics"
Carnival of Souls	"Classics, Comedy, Horror, Mystery & Suspense"
Carrie	Horror
Casablanca	"Classics, Drama, Romance"
Casino Royale	"Action & Adventure, Classics, Comedy"
The Cat and the Canary	"Classics, Horror, Mystery & Suspense"
Cat on a Hot Tin Roof	"Classics, Drama"
Cat People	"Drama, Horror, Romance"
Cat People	"Drama, Horror, Mystery & Suspense"
Caught	"Classics, Drama, Mystery & Suspense"
The Champ	"Drama, Sports & Fitness"
Champion	"Classics, Drama"
Charade	"Classics, Comedy, Drama, Mystery & Suspense"
Charlotte's Web	"Animation, Kids & Family"
The Chase	"Classics, Drama"
Checking Out	Comedy
Children of the Corn	"Cult Movies, Horror, Mystery & Suspense"
The Chosen	Drama
A Christmas Carol	"Classics, Drama, Kids & Family, Science Fiction & Fantasy"
Christmas in Connecticut	"Classics, Comedy"
A Christmas Story	"Comedy, Drama, Kids & Family"
Cimarron	"Classics, Drama, Western"
Cleopatra	"Classics, Drama"
College	"Classics, Comedy, Romance"
Colors	"Action & Adventure, Drama"
Coma	"Action & Adventure, Mystery & Suspense"
Commando	Action & Adventure
Convoy	"Action & Adventure, Drama"
Countdown	"Action & Adventure, Documentary, Drama, Mystery & Suspense, Science Fiction & Fantasy"
The Country Girl	"Classics, Drama"
Cover Girl	"Classics, Comedy, Musical & Performing Arts, Romance"
Creature from the Black Lagoon	"Classics, Cult Movies, Horror, Science Fiction & Fantasy"
Crossroads	Drama
Cutting Class	"Comedy, Drama, Horror"
Damn Yankees	"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy"
Dangerous	"Classics, Drama"
Dangerous Liaisons	Drama
The Dark Mirror	"Drama, Mystery & Suspense"
Darling	"Art House & International, Classics, Comedy, Drama, Romance"
Day of the Dead	Horror
The Day the Earth Stood Still	"Classics, Drama, Science Fiction & Fantasy"
Days of Wine and Roses	"Classics, Drama"
Dead Heat	"Action & Adventure, Comedy, Horror, Mystery & Suspense"
Dead Reckoning	"Classics, Drama, Mystery & Suspense"
Death in Venice	Drama
Death of a Salesman	"Drama, Television"
Dèmoni (Demons)	"Art House & International, Horror"
The Desperate Hours	"Classics, Drama, Mystery & Suspense"
Devil Doll	"Classics, Horror"
Dillinger	"Action & Adventure, Drama, Mystery & Suspense"
Dinner at Eight	"Classics, Comedy, Drama, Romance"
Distant Thunder	Drama
Doctor Zhivago	"Classics, Drama, Television, Romance"
Dodge City	"Classics, Western"
Dolls	Horror
Dr. Jekyll and Mr. Hyde	"Drama, Horror"
How the Grinch Stole Christmas	"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television"
Dracula	"Classics, Horror"
Dracula	"Horror, Mystery & Suspense"
Dracula	"Art House & International, Drama, Horror, Romance"
Dragnet	"Action & Adventure, Comedy"
The Dream Team	Comedy
Dressed to Kill	"Drama, Horror, Mystery & Suspense"
Duel	"Mystery & Suspense, Television"
Dune	Science Fiction & Fantasy
The Eagle Has Landed	"Action & Adventure, Art House & International, Mystery & Suspense"
East of Eden	"Classics, Drama"
Easy Money	"Action & Adventure, Comedy"
Eaten Alive	"Horror, Mystery & Suspense"
Edipo re (Oedipus Rex)	"Art House & International, Drama"
The Elephant Man	Drama
The Enforcer	"Action & Adventure, Drama, Mystery & Suspense"
The Enforcer	"Classics, Drama, Mystery & Suspense"
Escape from New York	"Action & Adventure, Science Fiction & Fantasy"
Exodus	"Classics, Drama"
Eyewitness	"Horror, Mystery & Suspense"
Fahrenheit 451	"Classics, Science Fiction & Fantasy"
The Fan	"Drama, Mystery & Suspense"
Fandango	"Comedy, Drama"
Far From the Madding Crowd	"Drama, Romance"
"Farewell, My Lovely"	"Classics, Drama, Mystery & Suspense"
Fatal Attraction	"Drama, Mystery & Suspense"
Father of the Bride	"Classics, Comedy, Drama"
Flash Gordon	"Action & Adventure, Comedy, Science Fiction & Fantasy"
Flashback	Comedy
Flesh & Blood (Flesh+Blood) (The Rose and the Sword)	"Action & Adventure, Drama"
The Flight of the Phoenix	"Action & Adventure, Classics, Drama"
Flipper	"Action & Adventure, Classics, Drama, Kids & Family, Television"
