Percy Jackson & the Olympians: The Lightning Thief	"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
The German Doctor	"Art House & International, Drama, Mystery & Suspense"
The Ghost and Mr. Chicken	"Classics, Comedy, Kids & Family, Mystery & Suspense"
The Giant Behemoth	"Classics, Drama, Horror, Science Fiction & Fantasy"
The Giant Mechanical Man	Comedy
The Gift	Mystery & Suspense
The Girl	"Drama, Horror"
The Girl from the Naked Eye	"Action & Adventure, Drama, Mystery & Suspense, Romance"
The Girl in the Book	Drama
The Girl In The Photographs	"Horror, Mystery & Suspense, Special Interest"
The Girl in the Spider's Web	Drama
The Girl Is In Trouble	Mystery & Suspense
The Girl on the Train	"Drama, Mystery & Suspense"
The Girl Who Kicked the Hornet's Nest	"Art House & International, Drama, Mystery & Suspense"
The Girl Who Leapt Through Time	"Action & Adventure, Animation, Art House & International, Kids & Family"
The Girl With All the Gifts	Drama
The Girl with the Dragon Tattoo	"Drama, Mystery & Suspense"
The Girl with the Dragon Tattoo	"Art House & International, Drama, Mystery & Suspense"
The Girls in the Band	"Documentary, Special Interest"
The Giver	"Drama, Science Fiction & Fantasy"
The Glass Bottom Boat	"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Mystery & Suspense"
The Glass Castle	Drama
The Glass Shield	"Action & Adventure, Drama"
The Gleaners and I	"Art House & International, Documentary, Drama, Special Interest"
The Go-Getter	"Art House & International, Comedy, Drama, Romance"
The Go-Getters	Comedy
The Goebbels Experiment	"Art House & International, Documentary, Special Interest"
The Gold Rush	"Classics, Comedy"
The Golden Dream (La Jaula De Oro)	"Art House & International, Drama"
The Golem	Horror
The Good Catholic	"Comedy, Drama, Romance"
The Good Dinosaur	"Action & Adventure, Animation, Comedy, Kids & Family"
The Good Doctor	"Drama, Mystery & Suspense"
The Good Lie	"Drama, Mystery & Suspense"
The Good Neighbor	Mystery & Suspense
The Good Postman	Documentary
"The Good, the Bad and the Ugly"	Western
"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)"	"Action & Adventure, Art House & International, Western"
The Gospel of John	"Classics, Drama"
The Grace Card	"Drama, Faith & Spirituality"
The Grace of Jake	Drama
The Gracefield Incident	"Action & Adventure, Drama, Science Fiction & Fantasy"
The Grand Budapest Hotel	"Comedy, Drama"
The Grand Seduction	Comedy
The Grandmaster	"Action & Adventure, Art House & International, Drama, Special Interest"
The Great Beauty	"Comedy, Drama"
The Great Buddha+	"Art House & International, Drama"
The Great Buster: A Celebration	Documentary
The Great Escape	"Action & Adventure, Classics, Drama"
The Great Flood	"Documentary, Musical & Performing Arts, Special Interest, Faith & Spirituality"
The Great Gatsby	"Drama, Romance"
The Great Gilly Hopkins	"Comedy, Drama"
The Great Hack	Documentary
The Great Hip Hop Hoax	"Documentary, Special Interest"
The Great Museum	"Documentary, Special Interest"
The Great Silence (Il grande silenzio)	"Art House & International, Drama, Western"
The Great Wall	"Action & Adventure, Drama, Mystery & Suspense"
The Greatest Showman	"Drama, Musical & Performing Arts"
The Green Butchers	"Art House & International, Comedy, Drama"
The Green Inferno	"Horror, Mystery & Suspense"
The Green Prince	"Documentary, Special Interest"
The Greening Of Whitney Brown	"Action & Adventure, Drama, Kids & Family"
The Grey	"Action & Adventure, Drama"
The Grey Zone	Drama
The Grief of Others	Drama
Dark Tourist	"Drama, Mystery & Suspense"
The Grinch	"Animation, Kids & Family, Science Fiction & Fantasy"
The Ground Truth	"Documentary, Drama, Special Interest"
The Grudge	"Drama, Horror, Mystery & Suspense"
The Guard	"Comedy, Mystery & Suspense"
The Guardian	"Action & Adventure, Drama"
The Guardians (Les Gardiennes)	"Art House & International, Drama"
The Guernsey Literary and Potato Peel Pie Society	Drama
The Guest	Mystery & Suspense
The Guillotines	"Action & Adventure, Art House & International, Drama"
The Guilt Trip	Comedy
The Guilty (Den skyldige)	"Drama, Mystery & Suspense"
The Gunman	Action & Adventure
The Hallow (The Woods)	"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
The Hand that Rocks the Cradle	"Drama, Mystery & Suspense"
The Handmaiden (Ah-ga-ssi)	"Art House & International, Drama, Romance"
The Hanging Garden	Drama
The Hangover Part II	Comedy
The Hangover Part III	Comedy
The Happy House	"Comedy, Horror"
The Happy Poet	"Comedy, Drama, Romance"
The Happy Prince	Drama
The Happy Sad	Drama
The Happytime Murders	"Action & Adventure, Comedy"
The Harmonists	"Art House & International, Drama"
The Harvest	"Horror, Mystery & Suspense"
The Hate U Give	Drama
The Hateful Eight	Western
The Hatton Garden Job	Art House & International
The Haunting in Connecticut 2: Ghosts of Georgia	"Drama, Horror, Mystery & Suspense"
The Unspoken	"Horror, Mystery & Suspense"
The Haunting of Sharon Tate	"Drama, Horror, Mystery & Suspense"
The Hawks and the Sparrows (Uccellacci e uccellini)	"Art House & International, Comedy"
The Head Hunter	"Horror, Science Fiction & Fantasy"
The Healer	"Art House & International, Comedy, Drama, Kids & Family"
The Heart Machine	Drama
The Heartbreak Kid	"Comedy, Drama, Romance"
The Heat	Comedy
The Hedgehog	"Art House & International, Comedy, Drama"
The Heir Apparent: Largo Winch	"Action & Adventure, Mystery & Suspense"
The Help	Drama
The Hero	Drama
The High Cost of Living	Drama
The Highwaymen	"Drama, Mystery & Suspense"
The Hippopotamus	Comedy
The Hitman's Bodyguard	"Action & Adventure, Comedy"
The Hobbit: An Unexpected Journey	"Action & Adventure, Science Fiction & Fantasy"
The Hobbit: The Battle of the Five Armies	"Action & Adventure, Science Fiction & Fantasy"
The Hobbit: The Desolation of Smaug	"Action & Adventure, Science Fiction & Fantasy"
The Hole (Le Trou)	"Art House & International, Drama, Mystery & Suspense"
The Hole in the Ground	Horror
The Holiday	"Comedy, Romance"
The Holiday Calendar	Romance
The Hollars	"Comedy, Drama, Kids & Family"
The Hollow Point	Drama
The Homesman	"Drama, Western"
The Horde (La Horde)	"Action & Adventure, Art House & International, Horror, Mystery & Suspense"
The Hornet's Nest	"Documentary, Special Interest"
The Horror of Frankenstein	"Art House & International, Comedy, Horror"
The Horror of H.P. Lovecraft (LovecraCked! The Movie)	"Comedy, Horror, Science Fiction & Fantasy"
The Horror Show	Horror
The Horseman	"Drama, Mystery & Suspense"
The Host	"Action & Adventure, Art House & International, Comedy, Drama, Horror"
The Host	"Action & Adventure, Science Fiction & Fantasy, Romance"
The Hot Flashes	Comedy
The Hours and Times	"Art House & International, Drama, Musical & Performing Arts"
The House	Comedy
The House I Live In	"Documentary, Special Interest"
The House of the Devil	Horror
The House of the Spirits	"Art House & International, Classics, Drama, Romance"
The House That Jack Built	"Drama, Horror, Mystery & Suspense"
The House with a Clock in Its Walls	"Comedy, Kids & Family, Science Fiction & Fantasy"
The Housemaid	"Art House & International, Drama, Mystery & Suspense"
The Housemaid (Cô Hâu Gái)	"Drama, Horror"
The Houses October Built	"Drama, Horror"
The Houses October Built 2	Horror
The Human Centipede II (Full Sequence)	"Drama, Horror"
The Human Centipede III (Final Sequence)	Horror
The Human Comedy	"Classics, Comedy, Drama, Kids & Family"
The Human Experiment	"Documentary, Special Interest"
The Human Race	"Horror, Science Fiction & Fantasy"
The Human Resources Manager	"Comedy, Drama"
The Human Scale	Documentary
The Humanity Bureau	"Action & Adventure, Science Fiction & Fantasy"
The Humbling	Drama
The Hummingbird Project	"Comedy, Drama, Mystery & Suspense"
The Hunchback of Notre Dame II	"Animation, Kids & Family"
The Hundred-Foot Journey	Drama
The Hunger	Horror
The Hunger Games	"Drama, Mystery & Suspense, Science Fiction & Fantasy"
The Hunger Games: Catching Fire	"Action & Adventure, Science Fiction & Fantasy"
The Hunger Games: Mockingjay - Part 1	"Action & Adventure, Drama, Science Fiction & Fantasy"
The Hunger Games: Mockingjay - Part 2	"Action & Adventure, Drama, Science Fiction & Fantasy"
The Hungry Ghosts	Drama
The Hunt	Horror
The Hunt (Jagten)	Drama
The Hunter	"Art House & International, Drama"
The Hunter's Prayer	"Action & Adventure, Drama, Mystery & Suspense"
The Hunting Ground	Documentary
The Hunting of the President	"Documentary, Special Interest"
The Hunting Party	"Action & Adventure, Art House & International, Classics, Western"
The Huntsman: Winter's War	"Action & Adventure, Drama, Science Fiction & Fantasy"
The Hurricane Heist	"Action & Adventure, Drama, Mystery & Suspense"
The Hurt Locker	"Action & Adventure, Drama"
The Hustle	Comedy
The Ice Cream Truck	"Comedy, Horror"
The Iceman	"Drama, Mystery & Suspense"
The Identical	Drama
The Ides of March	"Drama, Mystery & Suspense"
The Illusionist (L'illusionniste)	"Animation, Art House & International, Comedy, Drama"
The Imaginarium of Doctor Parnassus	"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
The Imitation Game	"Drama, Mystery & Suspense"
The Immigrant	"Drama, Romance"
The Immortalists	"Documentary, Drama"
The Impossible	"Action & Adventure, Drama"
The Imposter	"Documentary, Special Interest"
The In-Laws	"Action & Adventure, Comedy, Mystery & Suspense"
The Inbetweeners	"Art House & International, Comedy"
The Incomparable Rose Hartman	Documentary
The Incredible Burt Wonderstone	Comedy
The Incredible Hulk	"Action & Adventure, Science Fiction & Fantasy"
The Incredible Jessica James	Comedy
The Incredible Mr. Limpet	"Animation, Comedy, Kids & Family"
The Incredibly True Adventure of Two Girls in Love	"Art House & International, Comedy, Drama, Romance, Gay & Lesbian"
The Indian Runner	Drama
The Inevitable Defeat of Mister & Pete	Drama
The Infidel	Comedy
The Infiltrator	Drama
The Influence (La influencia)	Horror
The Inhabitants	"Horror, Mystery & Suspense"
The Innkeepers	"Horror, Mystery & Suspense"
The Institute	"Drama, Horror"
The Insult (L'insulte)	Drama
The Intended	Drama
The Intern	Comedy
The Internet's Own Boy: The Story of Aaron Swartz	"Documentary, Special Interest"
The Internship	"Comedy, Drama"
The Interrupters	"Documentary, Special Interest"
The Intervention	"Comedy, Drama"
The Interview	Comedy
The Intouchables	"Art House & International, Comedy, Drama, Special Interest"
The Intruder	Mystery & Suspense
The Intruders	"Action & Adventure, Mystery & Suspense"
The Invisible War	"Documentary, Special Interest"
The Invisible Woman	Drama
The Invitation	Mystery & Suspense
The Iran Job	"Documentary, Special Interest, Sports & Fitness"
The Iron Ladies	"Art House & International, Comedy, Drama"
The Iron Lady	"Art House & International, Drama"
The Iron Ministry	Documentary
The Island (Ostrov)	"Art House & International, Drama"
The Island at the Top of the World	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
The Island President	Documentary
The Isle	"Horror, Science Fiction & Fantasy"
The Ivory Game	Documentary
The Jaundiced Eye	"Documentary, Special Interest"
The Jeffrey Dahmer Files	"Documentary, Special Interest"
The Jetsons	"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy"
The Jewish Cardinal	"Art House & International, Documentary, Special Interest, Faith & Spirituality"
The Jimmy Show	"Comedy, Drama"
The Journey	"Art House & International, Drama"
The Judge	"Comedy, Drama"
The Jungle Book	"Action & Adventure, Kids & Family"
The Jurassic Games	
"The Karate Kid, Part III"	"Action & Adventure, Drama, Kids & Family"
The Keeper of Lost Causes (Kvinden i buret)	"Art House & International, Comedy, Mystery & Suspense"
The Keeping Hours	"Drama, Science Fiction & Fantasy, Romance"
The Kid	"Comedy, Kids & Family, Science Fiction & Fantasy"
The Kid	"Drama, Western"
The Kid Who Would Be King	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
The Kid with a Bike	"Art House & International, Drama"
The Kidnapping of Michel Houellebecq	"Comedy, Drama"
The Kids Are Alright	"Documentary, Musical & Performing Arts"
The Kids Grow Up	"Documentary, Special Interest"
The Kill Hole	"Action & Adventure, Horror"
The Kill Team	"Documentary, Special Interest"
The Kill Team	"Action & Adventure, Drama"
The Killer Inside Me	"Drama, Mystery & Suspense, Western"
The Killing of a Sacred Deer	Drama
The Kindergarten Teacher (Haganenet)	Drama
The Kindergarten Teacher	Drama
The King	Drama
The King	Drama
The King Is Alive	"Art House & International, Drama, Horror"
The King of Masks	"Art House & International, Drama"
The Kingdom	"Action & Adventure, Drama, Mystery & Suspense"
The Kingdom of Dreams and Madness	"Documentary, Special Interest"
The King's Choice	Drama
The Kings of Summer	Comedy
The King's Speech	Drama
The Kissing Booth	"Comedy, Romance"
The Knot	"Art House & International, Comedy, Romance"
The L.A. Riot Spectacular	Comedy
The Ladies' Man	"Classics, Comedy"
The Lady	Drama
The Lady From Shanghai	"Classics, Drama, Mystery & Suspense"
The Lady In The Van	Drama
The Land	Drama
The Land Before Time III: The Time of Great Giving	"Action & Adventure, Animation, Kids & Family, Musical & Performing Arts"
The Land of Steady Habits	"Comedy, Drama"
The Last 5 Years	"Comedy, Drama, Musical & Performing Arts"
The Last American Hero	"Action & Adventure, Classics, Drama, Sports & Fitness"
The Last Big Thing	"Comedy, Drama"
The Last Black Man in San Francisco	Drama
The Last Days	"Horror, Mystery & Suspense"
The Last Days On Mars	Science Fiction & Fantasy
The Last Dragon	"Action & Adventure, Comedy, Drama"
The Last Exorcism Part II	"Horror, Mystery & Suspense"
The Last Face	"Drama, Romance"
The Last Gladiators	"Documentary, Special Interest, Sports & Fitness"
The Last Heist	Action & Adventure
The Last Impresario	"Documentary, Special Interest"
The Last King	"Action & Adventure, Art House & International, Drama"
The Last Laugh (Der Letzte Mann)	"Art House & International, Drama"
The Last Laugh	Comedy
The Last Lions	"Documentary, Special Interest"
The Last Man On The Moon	Documentary
The Last Metro (Le Dernier Métro)	"Art House & International, Drama, Romance"
The Last Mountain	Documentary
The Last Movie Star	Drama
The Last Of Robin Hood	Drama
The Last of the Unjust	"Documentary, Special Interest"
The Last Photograph	"Art House & International, Drama"
The Last Race	"Documentary, Sports & Fitness"
The Last Ride	Drama
The Last Rites of Joe May	Drama
The Last Seduction	"Drama, Mystery & Suspense"
The Last Sentence	Drama
The Last September	"Drama, Romance"
The Last Sharknado: It's About Time	"Action & Adventure, Comedy, Horror, Television"
The Last Shot	Comedy
The Last Starfighter	"Action & Adventure, Science Fiction & Fantasy"
The Last Suit (El último traje)	"Art House & International, Drama"
The Last Summer	"Comedy, Drama"
The Last Survivors (The Well)	"Action & Adventure, Horror, Mystery & Suspense"
The Last Waltz	"Documentary, Musical & Performing Arts"
The Last Witch Hunter	"Action & Adventure, Science Fiction & Fantasy"
The Last Witness	Mystery & Suspense
The Last Word	Comedy
The Late Bloomer	Comedy
The Laundromat	"Comedy, Drama"
The Law In These Parts	"Documentary, Special Interest"
The Laws of Thermodynamics (Las Leyes de la Termodinámica)	Comedy
The Layover	Comedy
The Lazarus Effect	Horror
The League of Gentlemen	"Action & Adventure, Classics, Comedy, Drama"
The Ledge	"Drama, Mystery & Suspense"
The Legacy of a Whitetail Deer Hunter	Comedy
The Legend Of 420	Documentary
The Legend of Ben Hall	"Action & Adventure, Drama, Western"
The Legend of Cocaine Island	Documentary
The Legend of Hercules	"Action & Adventure, Science Fiction & Fantasy"
The Legend of Tarzan	Action & Adventure
The Lego Batman Movie	"Action & Adventure, Animation, Comedy, Kids & Family"
The LEGO Movie	"Action & Adventure, Animation, Comedy, Kids & Family"
The LEGO Movie 2: The Second Part	"Animation, Comedy"
The Lego Ninjago Movie	"Action & Adventure, Animation, Comedy, Kids & Family"
The Leisure Seeker	"Action & Adventure, Drama, Romance"
The Leopard	"Art House & International, Classics, Drama"
The Lesser Blessed	Drama
The Letters	Drama
The Levelling	Drama
The Liability	"Art House & International, Mystery & Suspense"
The Liberator	Drama
The Lie	"Comedy, Drama"
The Life and Times of Hank Greenberg	"Documentary, Special Interest, Sports & Fitness"
The Lifeguard	"Comedy, Drama"
The Light Between Oceans	"Drama, Romance"
The Limehouse Golem	"Art House & International, Horror, Mystery & Suspense"
The Lion King	"Action & Adventure, Animation, Drama, Kids & Family, Musical & Performing Arts"
The Lion King	"Action & Adventure, Animation, Drama"
The Lion King II: Simba's Pride	"Action & Adventure, Animation, Comedy, Drama, Kids & Family, Musical & Performing Arts"
The Lion of Judah	"Animation, Kids & Family"
The Little Death	Comedy
The Little Hours	Comedy
The Little Mermaid	"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance"
The Little Mermaid 2: Return to the Sea	"Animation, Kids & Family"
The Little Rascals	"Comedy, Kids & Family"
The Little Stranger	"Drama, Horror, Mystery & Suspense"
The Little Vampire 3D	"Action & Adventure, Animation, Art House & International, Comedy"
The Lives of Others	"Art House & International, Drama"
The Living	"Drama, Mystery & Suspense"
The Living End	"Action & Adventure, Art House & International, Comedy, Drama, Gay & Lesbian"
The Lobster	"Comedy, Cult Movies, Drama, Science Fiction & Fantasy"
The Lodgers	Horror
The Loft	"Drama, Mystery & Suspense"
The Lone Ranger	"Action & Adventure, Kids & Family, Western"
The Loneliest Planet	Drama
The Lonely Island Presents: The Unauthorized Bash Brothers Experience	"Comedy, Musical & Performing Arts, Sports & Fitness"
The Long Dumb Road	Comedy
The Long Good Friday	"Drama, Mystery & Suspense"
The Longest Ride	Drama
The Longest Week	Comedy
The Look of Love	"Comedy, Drama, Romance"
The Look of Silence	"Art House & International, Documentary"
The Lookalike	"Drama, Mystery & Suspense"
Dr Seuss' The Lorax	"Animation, Kids & Family"
The Lord of the Rings: The Fellowship of the Ring	"Action & Adventure, Classics, Drama, Science Fiction & Fantasy"
The Lord of the Rings: The Return of the King	"Action & Adventure, Classics, Science Fiction & Fantasy"
The Lord of the Rings: The Two Towers	"Action & Adventure, Classics, Drama, Science Fiction & Fantasy"
The Lords of Salem	"Horror, Mystery & Suspense"
The Lost Bladesman (Guan yun chang)	"Action & Adventure, Art House & International"
The Lost City of Z	"Action & Adventure, Drama"
The Love Letter	"Comedy, Romance"
The Love Punch	"Art House & International, Comedy"
The Love We Make	"Documentary, Musical & Performing Arts, Television"
The Love Witch	"Drama, Horror, Mystery & Suspense"
The Loved Ones	"Art House & International, Horror"
The Lovers	"Action & Adventure, Romance"
The Lovers And The Despot	"Documentary, Mystery & Suspense"
The Loving Story	Documentary
The Low Life	"Art House & International, Comedy, Drama"
The Lucky One	Drama
The Lullaby	Horror
The Lunchbox	"Drama, Romance"
The Machine	"Mystery & Suspense, Science Fiction & Fantasy"
The Machine Which Makes Everything Disappear	"Documentary, Special Interest"
The MacKintosh Man	"Action & Adventure, Mystery & Suspense"
The Maestro	Drama
The Magic Christian	"Classics, Comedy"
The Magic of Belle Isle	"Comedy, Drama"
The Magician (Ansiktet)	Drama
The Magnificent Seven	"Action & Adventure, Drama, Western"
The Man From Earth: Holocene	Drama
The Man From London (A Londoni Férfi)	Drama
The Man from Planet X	"Classics, Cult Movies, Horror, Science Fiction & Fantasy"
The Man From U.N.C.L.E.	"Action & Adventure, Comedy, Mystery & Suspense"
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby"	"Documentary, Special Interest"
The Man on the Train (L'homme du train)	"Art House & International, Comedy, Drama"
The Man Who Invented Christmas	"Comedy, Drama"
The Man Who Killed Don Quixote	"Action & Adventure, Comedy, Drama"
The Man Who Killed Hitler and Then The Bigfoot	"Action & Adventure, Mystery & Suspense"
The Man Who Knew Infinity	"Art House & International, Drama"
The Man Who Knew Too Much	"Art House & International, Classics, Mystery & Suspense"
The Man Who Knew Too Much	"Classics, Mystery & Suspense"
The Man Who Shook the Hand of Vicente Fernandez	Drama
The Man with Rain in His Shoes (Twice Upon a Yesterday)	"Art House & International, Comedy, Drama, Science Fiction & Fantasy, Romance"
The Man With the Golden Arm	Drama
The Man With the Iron Fists	Action & Adventure
The Marriage Circle	"Classics, Comedy"
The Marriage of Maria Braun (Die Ehe der Maria Braun)	"Art House & International, Drama"
The Martian	Science Fiction & Fantasy
The Mask You Live In	Documentary
The Masked Saint	Action & Adventure
The Master	Drama
The Maze Runner	"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
The Meddler	"Comedy, Drama"
The Meg	"Action & Adventure, Horror, Science Fiction & Fantasy"
The Memory Thief	"Drama, Mystery & Suspense"
The Mercy	"Art House & International, Drama"
The Messenger	"Art House & International, Documentary, Kids & Family"
The Messengers	"Horror, Mystery & Suspense"
The Meyerowitz Stories (New and Selected)	"Comedy, Drama"
The Midnight Man	"Horror, Mystery & Suspense"
The Midwife (Sage femme)	"Art House & International, Drama"
The Mighty Macs	"Action & Adventure, Drama"
The Mill and the Cross	"Art House & International, Drama"
The Mind's Eye	"Action & Adventure, Horror"
The Miners' Hymns	"Documentary, Drama, Special Interest"
The Miracle Season	Drama
The Mirror	"Art House & International, Drama, Special Interest"
The Miseducation of Cameron Post	Drama
The Missing Picture	"Documentary, Drama"
The Moment	"Drama, Mystery & Suspense"
The Monitor (Babycall)	Mystery & Suspense
The Monkey King 2 (San Da Bai Gu Jing)	"Action & Adventure, Art House & International, Science Fiction & Fantasy"
The Monkey King 3	"Action & Adventure, Science Fiction & Fantasy"
The Monster	"Drama, Horror"
The Monster Project	Horror
The Monuments Men	"Action & Adventure, Drama"
The Mortal Instruments: City of Bones	"Action & Adventure, Drama, Science Fiction & Fantasy"
The Most Assassinated Woman in the World (La femme la plus assassinée du monde)	Mystery & Suspense
The Most Dangerous Year	Documentary
The Most Hated Woman In America	Drama
The Motel Life	"Drama, Mystery & Suspense"
The Moth Diaries	"Drama, Horror"
The Motive (El autor)	"Comedy, Drama"
The Motorcycle Diaries	Drama
The Mountain Between Us	"Drama, Romance"
The Mule	"Drama, Mystery & Suspense"
The Mummy	"Action & Adventure, Drama, Horror"
The Muppets	"Comedy, Kids & Family"
The Music Never Stopped	Drama
The Music of Silence	Drama
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble	Documentary
The Mustang	Drama
The Naked Gun 33 1/3: The Final Insult	Comedy
The Naked Gun: From the Files of Police Squad!	Comedy
The Naked Island (Hadaka no shima)	"Art House & International, Drama"
The Naked Kiss	"Classics, Drama"
The Name of the Rose (Der Name der Rose)	"Art House & International, Drama, Mystery & Suspense"
The Nameless (Los sin nombre)	"Art House & International, Horror, Mystery & Suspense"
The Natural History of the Chicken	"Documentary, Special Interest, Television"
The Neighbor	Horror
The Neon Demon	Horror
The Neverending Story	"Kids & Family, Science Fiction & Fantasy"
The Neverending Story II: The Next Chapter	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
The New Girlfriend	"Art House & International, Drama"
The New Radical	Documentary
The New Romantic	"Comedy, Romance"
The Newspaperman: The Life and Times of Ben Bradlee	Documentary
The Nice Guys	"Comedy, Drama"
The Night Before	Comedy
The Night Comes For Us	"Action & Adventure, Mystery & Suspense"
The Night Eats the World (La nuit a dévoré le monde)	"Art House & International, Drama, Horror, Mystery & Suspense"
The Night Listener	"Drama, Mystery & Suspense"
The Night of the Virgin (La noche del virgen)	"Art House & International, Comedy, Horror, Science Fiction & Fantasy"
The Night Sitter	"Comedy, Horror"
The Night Visitor	"Action & Adventure, Classics, Mystery & Suspense"
The Night Watchmen	Horror
The Night We Never Met	"Comedy, Drama, Romance"
The Nightingale (Ye Ying - Le promeneur d'oiseau)	"Art House & International, Drama, Kids & Family"
The Nightmare	"Documentary, Horror"
The Nine Muses	"Art House & International, Documentary, Special Interest"
The Nines	"Art House & International, Comedy, Drama, Mystery & Suspense"
The Normal Heart	"Drama, Television"
The November Man	"Action & Adventure, Mystery & Suspense"
The Number 23	Mystery & Suspense
The Numbers Station	Mystery & Suspense
The Nun	Horror
The Nun's Story	"Classics, Drama"
The Nut Job	"Animation, Comedy"
The Nut Job 2: Nutty by Nature	"Animation, Comedy, Kids & Family"
The Nutcracker and the Four Realms	"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
The Oath	Comedy
The Odd Life of Timothy Green	"Comedy, Science Fiction & Fantasy"
The Odyssey (L'odyssée)	"Action & Adventure, Drama"
The Old Man & the Gun	Drama
The One	"Action & Adventure, Science Fiction & Fantasy"
The One I Love	"Comedy, Drama"
The Ones Below	"Art House & International, Mystery & Suspense"
The Only Real Game	"Documentary, Drama, Special Interest"
The Oogieloves in The Big Balloon Adventure	"Kids & Family, Musical & Performing Arts"
The Open House	"Horror, Mystery & Suspense"
The Optimists	"Comedy, Drama, Musical & Performing Arts"
The Oranges	"Comedy, Drama, Romance"
The Order	Mystery & Suspense
The Order of Myths	"Documentary, Musical & Performing Arts, Special Interest, Faith & Spirituality"
The Orphanage	"Drama, Horror, Mystery & Suspense"
The Osiris Child: Science Fiction Volume One	"Drama, Science Fiction & Fantasy"
The Other Dream Team	"Documentary, Sports & Fitness"
The Other F Word	"Documentary, Musical & Performing Arts, Special Interest"
The Other Man: F.W. de Klerk and the End of Apartheid	Documentary
The Other Side of Everything (Druga strana svega)	"Art House & International, Documentary"
The Other Side of Heaven	"Action & Adventure, Drama"
The Other Side of the Door	"Horror, Mystery & Suspense"
The Other Side of the Wind	Drama
The Other Son	Drama
The Other Woman	Drama
The Other Woman	Comedy
The Ottoman Lieutenant	Drama
The Out-of-Towners	Comedy
The Outcasts	Comedy
The Outlaw	"Action & Adventure, Classics, Drama, Mystery & Suspense, Western, Romance"
The Outrageous Sophie Tucker	Documentary
The Outsider	Action & Adventure
The Outsider	"Drama, Mystery & Suspense"
The Outsider	Western
The Overnight	Comedy
The Overnighters	"Documentary, Drama, Special Interest"
The Overture	"Art House & International, Drama"
The Pack	"Art House & International, Horror, Mystery & Suspense"
The Package	Comedy
The Pact	"Horror, Mystery & Suspense, Special Interest"
The Pact II	"Horror, Mystery & Suspense"
The Pajama Game	"Classics, Comedy, Musical & Performing Arts, Romance"
The Paperboy	Drama
The Parking Lot Movie	"Documentary, Special Interest"
The Parting Glass	Drama
The Parts You Lose	"Drama, Mystery & Suspense"
The Party	"Art House & International, Comedy, Drama"
The Party's Over	"Documentary, Special Interest"
The Passion of Anna (En Passion)	"Art House & International, Drama"
The Patience Stone	Drama
The Patrol	"Action & Adventure, Drama"
The Patsy	"Classics, Comedy"
The Pawnbroker	"Classics, Drama"
The Peanuts Movie	"Animation, Kids & Family"
The People I've Slept With	Comedy
The People vs. George Lucas	"Comedy, Documentary, Musical & Performing Arts, Special Interest"
The Perfect Age of Rock 'n' Roll	"Documentary, Drama, Musical & Performing Arts"
The Perfect Date	"Comedy, Romance"
The Perfect Family	"Comedy, Drama"
The Perfect Guy	Mystery & Suspense
The Perfect Match	Comedy
The Perfect Weapon	"Action & Adventure, Drama"
The Perfection	"Drama, Mystery & Suspense"
The Perks of Being a Wallflower	Drama
The Pervert's Guide To Ideology	"Documentary, Special Interest"
The Petrified Forest	"Classics, Drama, Romance"
The Phantom Carriage	"Art House & International, Drama, Horror, Science Fiction & Fantasy"
The Phenom	Drama
The Piano Tuner of Earthquakes	"Art House & International, Drama, Science Fiction & Fantasy"
The Pill	"Comedy, Drama, Romance"
The Pillow Book	"Art House & International, Cult Movies, Drama, Special Interest"
The Pinochet Case	"Documentary, Kids & Family, Special Interest"
The Pirate Fairy	"Animation, Kids & Family, Science Fiction & Fantasy"
The Pirates	"Action & Adventure, Art House & International"
The Pirates! Band of Misfits	"Action & Adventure, Animation, Comedy"
The Place Beyond The Pines	Drama
The Plague Dogs	"Action & Adventure, Animation, Drama, Science Fiction & Fantasy"
The Playroom	Drama
The Pleasures Of Being Out Of Step	"Documentary, Musical & Performing Arts"
The Poison Rose	Mystery & Suspense
The Polka King	"Comedy, Drama"
The Pool	"Art House & International, Comedy, Drama"
The Possession	"Horror, Mystery & Suspense"
The Possession of Hannah Grace	"Horror, Mystery & Suspense"
The Possession of Michael King	Mystery & Suspense
The Post	"Drama, Mystery & Suspense"
The Power Of Few	"Drama, Science Fiction & Fantasy"
The Predator	"Action & Adventure, Horror, Science Fiction & Fantasy"
The Preppie Connection	Drama
The President	"Art House & International, Drama"
The Pretty One	"Comedy, Drama"
The Price	Drama
The Prince	Drama
The Prince & Me	"Comedy, Romance"
